Plot_ID,Stand_ID,Species,Age,Elevation,TOPEX,Aspect,Slope,Basal Area,Stocking,MTH,FCOVER,Distance Seed Source,Total Species,Native Species,Exotic Species,Total IV,Native IV,Exotic IV,Regen IV,Seedling Species,Fleshy IV,Not Fleshy IV,Tree IV,Shrub IV,Fern IV,Herb IV,Liane IV
PRWAKA1,WAKA,PINRAD,51,753,1292.8,S,35.8,79.9,200,38.5,70.3,19.7,9,9,0,10.24,10.24,0,0,3,4.31,5.93,6.52,0,3.45,0.28,0
PRWAKA2,WAKA,PINRAD,51,711,1158.6,N,37,113.6,240,42.1,53.6,10.7,11,11,0,8.3,8.3,0,0,6,6.9,1.41,7.96,0,0.06,0.28,0
PRWAKA3,WAKA,PINRAD,51,768,1205.9,NE,38.3,83.6,320,36.4,75.6,18.7,7,7,0,6.95,6.95,0,0,7,6.05,0.9,5.88,1.07,0,0,0
PRWAKA4,WAKA,PINRAD,51,720,1137.4,E,39,104.4,260,39.3,60.9,48.1,11,11,0,4.61,4.61,0,0,9,2.52,2.08,3.87,0,0.12,0.62,0
PRWAKA5,WAKA,PINRAD,51,667,1252.5,S,26.6,40.6,100,42.8,41.2,69.9,10,10,0,8.89,8.89,0,0,6,1.24,7.65,2.8,0,6.09,0,0
PRWAKA6,WAKA,PINRAD,51,663,1154,S,34.2,54,140,34.6,34.7,44.6,13,13,0,11.28,11.28,0,0,6,6.45,4.82,8.37,0,2.63,0.28,0
PRWAKA7,WAKA,PINRAD,51,701,1197.4,NE,35.5,125.6,260,42.9,45,18.7,13,13,0,12.02,12.02,0,0,9,7.5,4.52,9.06,0,2.68,0.28,0
PRWAKA8,WAKA,PINRAD,51,657,1124.2,W,37.5,73.1,220,39.9,61.3,71.9,12,12,0,8.13,8.13,0,0,9,4.26,3.88,6.45,0,1.35,0.34,0
PRWAKA9,WAKA,PINRAD,51,630,1193.6,SW,31.2,52,120,42.5,78,110.6,13,13,0,10.09,10.09,0,0,8,4.88,5.22,6.51,0,3.03,0.28,0.28
PRWAKA10,WAKA,PINRAD,51,623,1143.5,N,40.8,66.8,200,35.6,47.5,111.1,11,11,0,10.99,10.99,0,0,6,5.8,5.19,8.01,0,2.97,0,0
